,active_finished_ratio,answer_time,first_sold_time,max_active_cost,max_finished_cost,mean_active_cost,mean_finished_cost,min_active_cost,min_finished_cost,n_active,n_finished,name,person_status,start_date,url
1590,0.2380952380952381,"Редко отвечает на сообщения, рекомендуем звонить",736631.0,10900.0,19000.0,3950.0,2824.4,200.0,50.0,4,20,екатерина,частное лицо,735324.0,https://www.avito.ru/user/6d65a1a76f7d958a54620d9384e12d27/profile
1591,0.7619047619047619,,735845.0,2300.0,4000.0,610.0,800.5,150.0,100.0,15,20,владислава,частное лицо,735658.0,https://www.avito.ru/user/d2f82d1f0478988118149658fac6cc20/profile
1592,0.6666666666666666,,736969.0,2200.0,1200.0,2200.0,1200.0,2200.0,1200.0,1,2,сергей,частное лицо,734442.0,https://www.avito.ru/user/9bc4a016fd8c9165dc15e9275e9fef7f/profile
1593,0.2857142857142857,"Редко отвечает на сообщения, рекомендуем звонить",736974.0,2000.0,3500.0,966.6666666666664,1046.1538461538462,400.0,300.0,3,13,евгения,частное лицо,734655.0,https://www.avito.ru/user/4941dd885a93285be9c26e375a90d7c6/profile
1594,1.0,Отвечает в течение дня,736880.0,14000.0,8500.0,4575.0,3710.0,2800.0,500.0,32,32,андрей,частное лицо,736726.0,https://www.avito.ru/user/510bb08ed91a2ad1ba8ffffda56af71d/profile
1595,6.0,,,6000.0,,1860.0,,600.0,,5,0,татьяна золотарёва (верёвкина),частное лицо,736238.0,https://www.avito.ru/user/81fbf34189ce0a3e7a5dec518078ed9f/profile
1596,5.333333333333333,Отвечает за несколько часов,736989.0,17000.0,4000.0,3383.870967741936,2400.0,500.0,1000.0,31,5,тома,частное лицо,736177.0,https://www.avito.ru/user/5dc29577f33586c2c59c8c63dfb82395/profile
1597,0.5,Отвечает за несколько часов,735804.0,2100.0,23000.0,913.6363636363636,3086.95652173913,250.0,50.0,11,23,алексей,частное лицо,734838.0,https://www.avito.ru/user/d7d64d547398b599a5ffb15fc412ad33/profile
1598,0.7142857142857143,Отвечает за несколько часов,736352.0,8000.0,1500000.0,4011.111111111111,118153.84615384616,2500.0,600.0,9,13,частное лицо,частное лицо,735538.0,https://www.avito.ru/user/780321a35e3859866bbe8f75505f61be/profile
1599,20.0,,,6000.0,,889.4736842105265,,100.0,,19,0,анастасия,частное лицо,736024.0,https://www.avito.ru/user/54de4e0dda1fd5e2956ab67360f39fc2/profile
1600,11.0,,,1999.0,,644.2,,50.0,,10,0,apartment,частное лицо,734655.0,https://www.avito.ru/user/ab9a342b4e2c31d09983561f82cca584/profile
1601,0.1736111111111111,"Редко отвечает на сообщения, рекомендуем звонить",735904.0,25000.0,310000.0,3958.333333333334,2979.720279720281,0.0,0.0,24,143,андрей,компания,735142.0,https://www.avito.ru/user/75703c8c94c62f9faa73aeed42a813fd/profile
1602,2.2,,736959.0,600.0,60000.0,350.0,15600.0,200.0,700.0,10,4,ольга,частное лицо,736573.0,https://www.avito.ru/user/93aa7ff30889470d347fb1ce1b25c11f/profile
1603,26.0,Отвечает за несколько часов,,700.0,,234.0,,50.0,,25,0,частное лицо,частное лицо,736055.0,https://www.avito.ru/user/64f9544c7aafc4fa995493d2ef71087f/profile
1604,0.3469387755102041,Отвечает около 30 минут,736894.0,6600.0,20000.0,4337.5,2474.7916666666665,1200.0,400.0,16,48,марина,компания,734381.0,https://www.avito.ru/user/4e4143be88458580703a1e95a2406310/profile
1605,8.5,Отвечает в течение дня,736991.0,2000.0,160000.0,738.75,160000.0,70.0,160000.0,16,1,ирина,частное лицо,734808.0,https://www.avito.ru/user/c26df817fc81881631bb650c214e9419/profile
1606,17.0,Отвечает за несколько часов,,2200.0,,494.9375,,150.0,,16,0,юлия,частное лицо,736269.0,https://www.avito.ru/user/c997e6a140e695daf556caa55c01f44d/profile
1607,0.38461538461538464,Отвечает около часа,736857.0,7000.0,39000.0,2737.5,11433.333333333336,450.0,500.0,4,12,саша,частное лицо,735750.0,https://www.avito.ru/user/656485348fff2abe620841a0ce84760a/profile
1608,3.0,,,5000.0,,2600.0,,200.0,,2,0,анна л,частное лицо,,https://www.avito.ru/user/74ab7a5e4618e4c3883fbf5936da6093/profile
1609,4.5,Отвечает за несколько часов,736955.0,25000.0,50000.0,2358.8235294117653,17200.0,200.0,600.0,17,3,виктор,частное лицо,736876.0,https://www.avito.ru/user/7d513ef248b84dd4cfdb9676fd82c766/profile
1610,4.733333333333333,Отвечает за несколько часов,736841.0,6000.0,2500.0,1075.4285714285713,889.2857142857142,10.0,50.0,70,14,елена,частное лицо,735995.0,https://www.avito.ru/user/5cb062999c30a4d5f50024f045f761eb/profile
1611,11.0,,,32000.0,,8100.0,,1000.0,,10,0,елена,частное лицо,736389.0,https://www.avito.ru/user/4db33614f5a759fc3dfde31500fe248b/profile
1612,1.0,"Редко отвечает на сообщения, рекомендуем звонить",736999.0,48000.0,550000.0,48000.0,550000.0,48000.0,550000.0,1,1,))),частное лицо,736055.0,https://www.avito.ru/user/83d751529f1db5799959bd1db330f03a/profile
1613,5.0,,,20000.0,,16250.0,,15000.0,,4,0,татьяна,частное лицо,,https://www.avito.ru/user/83e9419e6e0b3ae7eae6678033b8de5c/profile
1614,1.1714285714285717,Отвечает за несколько часов,736235.0,4900.0,20000.0,681.25,1070.6470588235297,100.0,1.0,40,34,александра,частное лицо,736177.0,https://www.avito.ru/user/4f4e79ed802976301088937e664450e6/profile
1615,1.125,Отвечает в течение дня,736937.0,8500.0,5000.0,3912.5,2935.714285714286,1150.0,650.0,8,7,анастасия,частное лицо,736907.0,https://www.avito.ru/user/3c9117a8d182871c3c6aa22d5fab21e7/profile
1616,1.375,,735512.0,7500.0,60000.0,850.0,5203.333333333333,150.0,200.0,21,15,волжский,частное лицо,734900.0,https://www.avito.ru/user/78ba57a776b42b49bd847f8693e48141/profile
1617,5.0,Отвечает за несколько часов,736992.0,1400.0,1500.0,514.2857142857143,800.0,0.0,100.0,14,2,анастасия,частное лицо,734503.0,https://www.avito.ru/user/f1911f655257465801ccd4ece8ecde77/profile
1618,0.4848484848484849,Отвечает в течение дня,736306.0,3500.0,5800.0,1813.333333333333,2477.34375,1000.0,75.0,15,32,денис,компания,734350.0,https://www.avito.ru/user/69cccaa1aca471ba1352003f5fba9f55/profile
1619,3.7,Отвечает за несколько часов,736719.0,5000.0,10000.0,1525.0,2305.555555555556,250.0,350.0,36,9,milena,частное лицо,736695.0,https://www.avito.ru/user/e7b542aab85a6e9382040e179e8a31f9/profile
1620,0.2783018867924528,Отвечает около 30 минут,735876.0,50000.0,105000.0,7012.068965517241,6440.5165876777255,0.0,0.0,58,211,арина,компания,734169.0,https://www.avito.ru/user/be776f5d9bbd21f11b9ca9d500521f72/profile
1621,0.5961538461538461,Отвечает за несколько часов,734512.0,550000.0,2000000.0,22118.33333333333,65591.37254901961,0.0,0.0,30,51,евгений,частное лицо,734685.0,https://www.avito.ru/user/025453097bfc2324cf7039bd630b0558/profile
1622,1.3043478260869563,Отвечает за несколько часов,736325.0,8999.0,29900.0,1426.1379310344828,4198.5,300.0,490.0,29,22,екатерина,компания,736116.0,https://www.avito.ru/user/d98d0a4fad6df92dbb863a97464d7fab/profile
1623,1.625,"Редко отвечает на сообщения, рекомендуем звонить",736828.0,5550.0,10000.0,2829.166666666666,4782.285714285715,450.0,1476.0,12,7,нелли,частное лицо,736269.0,https://www.avito.ru/user/9fd3eed995e13058b5ff431419bf32b7/profile
1624,6.5,Отвечает за несколько часов,736616.0,14500.0,1500.0,1970.9803921568628,742.8571428571429,20.0,100.0,51,7,ольга,частное лицо,735477.0,https://www.avito.ru/user/0605e8fe3218ad1b4d7b300ab8d413bb/profile
1625,4.0,,,1500.0,,1333.3333333333333,,1000.0,,3,0,алла,частное лицо,735811.0,https://www.avito.ru/user/7be96f083bb06b47ab410deacac93c01/profile
